1.1366,65.419
1.1358,11.673+104.72j
1.135,26.282+104.72j
1.1342,-77.502+104.72j
1.1334,7.1552+104.72j
1.1326,26.991+104.72j
1.1319,-25.445+104.72j
1.1311,-7.3514+104.72j
1.1303,-13.456+104.72j
1.1295,-67.123+104.72j
1.1287,-37.122+104.72j
1.128,-51.707+104.72j
1.1272,-53.983+104.72j
1.1264,-68.988+104.72j
1.1256,-44.659+104.72j
1.1249,-30.514+104.72j
1.1241,-69.524+104.72j
1.1233,-90.025+104.72j
1.1226,-1188.4+104.72j
1.1218,-84.927+104.72j
1.121,-62.922+104.72j
1.1203,-94.262+104.72j
1.1195,-72.025+104.72j
1.1187,-90.394+104.72j
1.118,-90.67+104.72j
1.1172,-107.68+104.72j
1.1165,-165.53+104.72j
1.1157,-165.77+104.72j
1.1149,-95.185+104.72j
1.1142,-109.75+104.72j
1.1134,-107.38+104.72j
1.1127,-86.557+104.72j
1.1119,-153.08+104.72j
1.1112,-141.85
1.1104,-155.52+104.72j
1.1097,-133.8+104.72j
1.1089,-127.4+104.72j
1.1082,-160.2
1.1074,-184.64
1.1067,-161.92+104.72j
1.1059,-162.31
1.1052,-187.76+104.72j
1.1044,-189.84
1.1037,-127.15
1.1029,-170.74
1.1022,-147.94
1.1015,-158.88
1.1007,-159.44
1.1,-115.56
1.0992,-114.91
1.0985,-112.66
1.0978,-117.35
1.097,-131.74
1.0963,-104.48
1.0956,-104.15
1.0948,-111.76
1.0941,-115.37
1.0934,-103.06
1.0927,-103.23
1.0919,-106.17
1.0912,-100.78
1.0905,-95.031
1.0898,-109.26
1.089,-96.154
1.0883,-90.798
1.0876,-98.088
1.0869,-88.344
1.0861,-90.809
1.0854,-87.159
1.0847,-85.832
1.084,-85.273
1.0833,-85.313
1.0826,-85.564
1.0818,-82.359
1.0811,-80.618
1.0804,-79.214
1.0797,-75.524
1.079,-75.591
1.0783,-75.184
1.0776,-73.424
1.0769,-72.945
1.0762,-71.081
1.0755,-69.206
1.0748,-67.979
1.0741,-67.695
1.0734,-65.105
1.0727,-63.946
1.0719,-62.848
1.0712,-62.453
1.0706,-60.608
1.0699,-59.252
1.0692,-57.842
1.0685,-56.954
1.0678,-55.67
1.0671,-54.877
1.0664,-53.576
1.0657,-52.73
1.065,-51.956
1.0643,-50.958
1.0636,-49.832
1.0629,-48.73
1.0622,-48.006
1.0615,-47.493
1.0609,-46.53
1.0602,-45.767
1.0595,-44.743
1.0588,-44.005
1.0581,-43.174
1.0574,-42.826
1.0568,-42.047
1.0561,-41.255
1.0554,-40.894
1.0547,-40.204
1.054,-39.746
1.0534,-39.2
1.0527,-38.681
1.052,-37.781
1.0513,-37.456
1.0507,-37.015
1.05,-36.728
1.0493,-36.171
1.0487,-35.893
1.048,-35.453
1.0473,-35.211
1.0466,-34.752
1.046,-34.237
1.0453,-33.936
1.0446,-33.741
1.044,-33.489
1.0433,-33.283
1.0427,-32.923
1.042,-32.665
1.0413,-32.419
1.0407,-32.236
1.04,-32.041
1.0393,-31.697
1.0387,-31.437
1.038,-31.184
1.0374,-31.229
1.0367,-30.942
1.0361,-30.772
1.0354,-30.645
1.0348,-30.528
1.0341,-30.438
1.0335,-30.291
1.0328,-30.188
1.0322,-30.056
1.0315,-29.932
1.0309,-29.814
1.0302,-29.871
1.0296,-29.745
1.0289,-29.792
1.0283,-29.568
1.0276,-29.669
1.027,-29.452
1.0263,-29.532
1.0257,-29.602
1.0251,-29.681
1.0244,-29.514
1.0238,-29.65
1.0231,-29.523
1.0225,-29.589
1.0219,-29.558
1.0212,-29.74
1.0206,-29.673
1.02,-29.691
1.0193,-29.649
1.0187,-29.842
1.0181,-29.667
1.0174,-29.993
1.0168,-29.885
1.0162,-29.984
1.0155,-29.975
1.0149,-30.233
1.0143,-30.064
1.0137,-30.159
1.013,-30.221
1.0124,-30.189
1.0118,-30.224
1.0112,-30.336
1.0105,-30.391
1.0099,-30.38
1.0093,-30.366
